Year,ICPSR_State_Code,Alphanumeric_State_Code,State,Turnout_Rates_VEP_Total_Ballots_Counted,Numerators_Total_Ballots_Counted,Voting Eligible Population,Voting Age Population,Non_citizen,Prison,Probation,Parole,Total_Ineligible_Felon,Percent Ineligible Because of Felony Charges,Percent of Turnout Potentially Swayed by Ineligibilty
2002,21,14,Illinois,42.8,3651808,8540965,9302571,8.9,43186,0,0,43186,0.464237252,1.182592294
2002,22,15,Indiana,34.8,1562037,4494191,4587747,2.6,22576,0,0,22576,0.492093396,1.445292269
2002,31,16,Iowa,48.7,1040201,2136683,2214936,2.5,8395,19970,2787,21167,0.95564838,2.034895179
2002,32,17,Kansas,44.9,851966,1897261,2007407,4.1,9009,15217,3990,20608,1.026597994,2.418875871
2002,51,18,Kentucky,,,3044267,3100972,1.7,16377,24480,5968,34585,1.115295462,#DIV/0!
2002,45,19,Louisiana,40.1,1267225,3163663,3312330,1.7,36091,36257,23049,77269,2.332768776,6.097496498
2002,2,20,Maine,,,995056,1001796,1.6,0,0,0,0,0,#DIV/0!
2002,52,21,Maryland,46.8,1721626,3678346,4082694,6.9,24186,81982,13271,78448,1.921476359,4.556622635
2002,3,22,Massachusetts,49.8,2220301,4458820,4919958,8.2,10511,0,0,10511,0.213640035,0.473404282
2002,23,23,Michigan,45,3219864,7147888,7445335,3.4,49524,0,0,49524,0.665168189,1.538077385
2002,33,24,Minnesota,,,3518184,3745577,3.8,7612,122692,3577,72535,1.936550764,#DIV/0!
2002,46,25,Mississippi,,,2047426,2099698,1.1,20542,16633,1816,30675,1.460924381,#DIV/0!
2002,34,26,Missouri,,,4116889,4262146,1.9,30649,54584,13533,71474,1.676948655,#DIV/0!
2002,64,27,Montana,49.7,340272,684572,690652,1,3440,0,0,3440,0.498080075,1.010955941
2002,35,28,Nebraska,,,1204512,1285024,3.8,4103,16468,574,12911,1.004728316,#DIV/0!
2002,65,29,Nevada,36.8,512433,1391100,1640679,12.7,10527,12290,3971,20643,1.258198587,4.028429082
2002,4,30,New Hampshire,48.7,453078,930362,960401,3,2483,0,0,2483,0.25853784,0.548029258
2002,12,31,New Jersey,38.9,2161105,5549726,6448445,11.5,28213,134290,12576,107934,1.673798877,4.994389444
2002,66,32,New Mexico,40,502230,1255086,1360130,7,6173,16287,1962,16279,1.196870887,3.241343608
2002,13,33,New York,37,4690968,12679865,14504792,12.6,65914,0,55990,121904,0.840439491,2.598696047
2002,47,34,North Carolina,,,5876705,6314679,5,33334,112900,2805,92589,1.466250303,#DIV/0!
2002,36,35,North Dakota,49.8,237224,476251,486797,1.2,1168,0,0,1168,0.239935743,0.49236165
2002,24,36,Ohio,40.3,3356285,8322521,8556557,1.9,45831,0,0,45831,0.535624317,1.365527659
2002,53,37,Oklahoma,,,2513143,2610016,3.3,23004,29881,3573,41518,1.590718218,#DIV/0!
2002,72,38,Oregon,51.8,1293756,2495739,2674581,6.7,12422,0,0,12422,0.464446581,0.960150137
2002,14,39,Pennsylvania,,,9143001,9454338,2.6,40545,0,0,40545,0.428850756,#DIV/0!
2002,5,40,Rhode Island,45.4,337027,741776,819310,7.4,3569,25914,384,16910,2.063931845,5.017402167
2002,48,41,South Carolina,,,2982810,3100548,2.6,24247,41574,3491,48525,1.565045921,#DIV/0!
2002,37,42,South Dakota,61.2,340407,556154,564305,1.3,3059,0,0,3059,0.542082739,0.898630169
2002,54,43,Tennessee,,,4151834,4393757,2.5,25409,42712,7949,54714,1.245266864,#DIV/0!
