Year,ICPSR_State_Code,Alphanumeric_State_Code,State,Turnout_Rates_VEP_Total_Ballots_Counted,Numerators_Total_Ballots_Counted,Voting Eligible Population,Voting Age Population,Non_citizen,Prison,Probation,Parole,Total_Ineligible_Felon,Percent Ineligible Because of Felony Charges,Percent of Turnout Potentially Swayed by Ineligibilty
1996,43,10,Florida,53.3,5444245,10219294,11509122,9.5,63763,237117,9243,191565,1.664462328,3.518669715
1996,44,11,Georgia,45.8,2374650,5181708,5555577,4.4,35139,143457,21146,128014,2.304243106,5.3908576
1996,82,12,Hawaii,45.1,370230,820055,895753,8,4011,0,0,4011,0.447779689,1.083380601
1996,63,13,Idaho,61.6,508030,825329,856420,3.2,3832,0,0,3832,0.447444011,0.754286164
1996,21,14,Illinois,53.8,4418270,8215662,8927254,7.5,38852,0,0,38852,0.435206616,0.879348704
1996,22,15,Indiana,51,2195224,4302745,4397367,1.8,16960,0,0,16960,0.385685343,0.772586306
1996,31,16,Iowa,59.7,1251983,2098332,2154320,1.8,6342,15386,2200,16235,0.753602065,1.296742847
1996,32,17,Kansas,57.8,1073520,1856507,1922601,3,7756,0,0,7756,0.403411836,0.722483046
1996,51,18,Kentucky,49.3,1419592,2880808,2938362,1.2,12910,11689,4621,23376,0.795545273,1.646670311
1996,45,19,Louisiana,58.4,1804640,3087693,3163302,1.5,26776,0,0,26776,0.846457278,1.483730827
1996,2,20,Maine,,,929970,944106,1.5,0,0,0,0,0,#DIV/0!
1996,52,21,Maryland,50.8,1793991,3530148,3817454,5.6,22050,70553,16246,73573,1.927279281,4.10107966
1996,3,22,Massachusetts,59.3,2600278,4385268,4723380,7.2,0,0,0,0,0,0
1996,23,23,Michigan,56.3,3912261,6954059,7201527,2.8,42349,0,0,42349,0.588055839,1.08246868
1996,33,24,Minnesota,66.6,2211161,3319509,3473117,2.9,5158,90202,2377,52636,1.515526255,2.380468903
1996,46,25,Mississippi,,,1949309,1986327,0.8,13859,10376,1326,20373,1.025661938,#DIV/0!
1996,34,26,Missouri,,,3919885,4035666,1.5,22003,42386,13087,56283,1.394639695,#DIV/0!
1996,64,27,Montana,64.7,417232,645052,652991,0.9,2293,0,0,2293,0.351153385,0.549574338
1996,35,28,Nebraska,57.8,686749,1188034,1230047,2.5,3287,14363,688,11157,0.907038512,1.62461103
1996,65,29,Nevada,41.2,467657,1134065,1271617,9.5,8439,9760,3216,16535,1.300312909,3.535711002
1996,4,30,New Hampshire,60.1,513700,855287,878569,2.4,2062,0,0,2062,0.234699836,0.401401596
1996,12,31,New Jersey,56.9,3105110,5456334,6152216,9.6,27490,125881,14545,104976,1.706312002,3.380749796
1996,66,32,New Mexico,49.5,579763,1172262,1249597,5.3,4724,8903,1426,10602,0.848433535,1.82867827
1996,13,33,New York,52.9,6439129,12175850,13942462,11.8,69709,0,57137,126846,0.909781931,1.969924814
1996,47,34,North Carolina,,,5435970,5717844,3.3,30647,102483,12358,94247,1.648296106,#DIV/0!
1996,36,35,North Dakota,57.1,271850,475898,481497,1,722,0,0,722,0.149949013,0.26558764
1996,24,36,Ohio,56.7,4638108,8185999,8366250,1.5,46174,0,6331,52505,0.627581055,1.132034873
1996,53,37,Oklahoma,51.4,1218248,2368311,2461718,2.3,19593,28090,2159,35797,1.454147063,2.938400063
1996,72,38,Oregon,60.6,1399180,2309051,2445442,5.2,8661,0,0,8661,0.354169103,0.619005417
1996,14,39,Pennsylvania,,,9063470,9283893,2,34537,0,0,34537,0.372009889,#DIV/0!
1996,5,40,Rhode Island,,,717041,781307,6.4,3271,20446,573,14067,1.80044464,#DIV/0!
1996,48,41,South Carolina,44.1,1203486,2731064,2825088,1.7,20446,42417,5036,46691,1.652727278,3.879646294
1996,37,42,South Dakota,62.2,329316,529793,537038,1,2063,0,0,2063,0.384144139,0.626449975
1996,54,43,Tennessee,,,3984092,4094014,1.6,15626,37002,8934,43061,1.051803926,#DIV/0!
1996,49,44,Texas,,,12072149,13887542,9.8,132383,429329,112594,459642,3.309743366,#DIV/0!
1996,67,45,Utah,52.1,691016,1326919,1394017,4.8,0,0,0,0,0,0
1996,6,46,Vermont,60,261469,435687,443874,1.8,0,0,0,0,0,0
1996,40,47,Virginia,51.3,2468229,4811632,5106297,4.7,27655,29620,9918,52383,1.025851023,2.122290922
1996,73,48,Washington,59.9,2293895,3829308,4147127,5.8,12527,125780,560,75977,1.832039385,3.312139396
1996,56,49,West Virginia,47.1,653331,1386621,1400343,0.5,2749,5669,869,6453,0.460815672,0.987707609
1996,25,50,Wisconsin,,,3763240,3886906,2,12991,47292,8222,44859,1.154105605,#DIV/0!
1996,68,51,Wyoming,62.5,215844,345112,353354,1.3,1499,3432,364,3579,1.012865285,1.658141991
1994,0,0,United States,0,,182623348,195258350,6.4,1037855,1778797,513686,2440940,1.25010787,#DIV/0!
1994,41,1,Alabama,,,3095745,3170782,1,19573,32284,7235,42950,1.354555438,#DIV/0!
1994,81,2,Alaska,54.2,216668,399435,417053,3,3292,2899,412,5154,1.235814153,2.378754592
1994,61,3,Arizona,39.9,1153724,2892171,3169857,7.5,19746,34365,4351,41280,1.302266948,3.577978789
1994,42,4,Arkansas,,,1801161,1849361,1.3,8643,19606,5224,23670,1.279901544,#DIV/0!
1994,71,5,California,48.2,8900593,18479124,22721586,17.7,125605,0,85082,210687,0.927254814,2.367111944
1994,62,6,Colorado,44.3,1173130,2648684,2785952,4.5,10717,0,2463,13180,0.473087835,1.12349015
1994,1,7,Connecticut,49.8,1163829,2335579,2515100,5.5,14380,53453,1146,42253,1.679972963,3.630516167
1994,11,8,Delaware,39.3,201560,512941,540474,2.6,4466,15507,1029,13249,2.451366763,6.573228815
1994,55,9,District of Columbia,45.2,186316,411886,463680,8.8,10949,0,0,10949,2.361326777,5.876575281
1994,43,10,Florida,43.9,4305340,9810247,11016840,9.1,57168,247014,20573,201248,1.826730714,4.674381117
1994,44,11,Georgia,,,4978431,5293282,3.7,33425,140694,17505,121277,2.291149423,#DIV/0!
1994,82,12,Hawaii,46.6,377011,808904,882189,7.9,3333,0,0,3333,0.377810197,0.884059086
1994,63,13,Idaho,53.5,419330,784076,809957,2.8,2811,0,0,2811,0.347055461,0.67035509
1994,21,14,Illinois,39.4,3219122,8175312,8819582,6.9,36531,0,0,36531,0.414203304,1.134812536
1994,22,15,Indiana,38,1609481,4235008,4315664,1.5,15014,0,0,15014,0.34789548,0.932847297
1994,31,16,Iowa,49.2,1022372,2077709,2128370,1.6,5437,15902,3696,17084,0.802679985,1.671016029
1994,32,17,Kansas,45.5,836251,1837694,1893521,2.6,6371,0,0,6371,0.336463129,0.761852602
1994,51,18,Kentucky,29.2,827541,2829881,2879413,1,11066,11417,4380,21155,0.734698357,2.556368808
1994,45,19,Louisiana,29.4,893758,3038660,3109456,1.5,24063,0,0,24063,0.773865268,2.692339537
1994,2,20,Maine,,,918204,932164,1.5,0,0,0,0,0,#DIV/0!
1994,52,21,Maryland,41.3,1437450,3480270,3751305,5.2,20998,76940,14795,74263,1.979657746,5.166301437
1994,3,22,Massachusetts,51.3,2232186,4353287,4668100,6.7,0,0,0,0,0,0
1994,23,23,Michigan,46.3,3177740,6856388,7081498,2.6,40631,0,0,40631,0.573762783,1.278613102
1994,33,24,Minnesota,55.2,1794618,3253779,3385687,2.5,4575,81972,1904,47465,1.401931129,2.644852554
1994,46,25,Mississippi,32.6,621096,1903794,1935054,0.7,10930,9042,1519,16970,0.87697811,2.732266832
1994,34,26,Missouri,,,3858946,3958762,1.3,17898,36295,12592,48638,1.228616421,#DIV/0!
1994,64,27,Montana,57.8,359455,622246,629335,0.8,1764,0,0,1764,0.280295868,0.49074293
1994,35,28,Nebraska,51,593654,1164502,1201826,2,2711,18639,771,12802,1.065212435,2.156474984
1994,65,29,Nevada,37.4,386582,1032456,1143487,8.4,6993,9410,3529,15227,1.331628606,3.93887972
1994,4,30,New Hampshire,38.5,319443,829590,851104,2.3,2021,0,0,2021,0.237456292,0.63266373
1994,12,31,New Jersey,39.5,2131328,5392423,6059401,8.9,24632,125299,41802,129084,2.13030958,6.056505615
1994,66,32,New Mexico,43.1,485709,1128243,1195183,4.9,3712,8063,1078,8822,0.738129642,1.816313883
1994,13,33,New York,43.7,5325323,12192316,13861352,11.2,66750,0,53832,120582,0.869915142,2.264313357
1994,47,34,North Carolina,,,5244552,5477604,2.6,23648,90418,20159,89016,1.625090094,#DIV/0!
1994,36,35,North Dakota,51.3,240430,468989,473993,0.9,563,0,0,563,0.118778125,0.23416379
1994,24,36,Ohio,43.5,3540954,8132122,8292312,1.4,43074,0,0,43074,0.519444999,1.216451838
1994,53,37,Oklahoma,43.1,1002363,2327519,2410272,2,16631,28285,2604,33378,1.384822958,3.329931372
1994,72,38,Oregon,56.3,1254265,2229242,2344505,4.6,6936,0,0,6936,0.2958407,0.552993187
1994,14,39,Pennsylvania,,,9043585,9241090,1.8,28302,0,0,28302,0.306262573,#DIV/0!
1994,5,40,Rhode Island,,,716002,776723,6.2,2919,18179,525,12534,1.613702697,#DIV/0!
1994,48,41,South Carolina,35.7,951901,2663830,2747987,1.4,18999,40005,6077,45079,1.640437164,4.735681547
1994,37,42,South Dakota,61.3,318090,518815,524910,0.8,1708,0,0,1708,0.325389114,0.53695495
1994,54,43,Tennessee,,,3850228,3945407,1.4,14401,34896,9353,41202,1.044302907,#DIV/0!
1994,49,44,Texas,,,11719888,13334014,8.9,118195,396276,108563,424896,3.186557326,#DIV/0!
1994,67,45,Utah,42.7,532737,1248726,1302522,4.1,0,0,0,0,0,0
1994,6,46,Vermont,50.8,216715,426953,434549,1.7,0,0,0,0,0,0
1994,40,47,Virginia,,,4718968,4983515,4.3,26968,24089,9649,48662,0.976459387,#DIV/0!
1994,73,48,Washington,46.7,1733471,3715174,3994036,5.3,10833,110279,1650,67623,1.693099411,3.901017092
1994,56,49,West Virginia,31.9,439551,1379339,1392499,0.5,1930,5992,1380,6306,0.452854903,1.434645809
1994,25,50,Wisconsin,,,3692668,3801543,1.8,10022,45901,7065,40038,1.053203923,#DIV/0!
1994,68,51,Wyoming,60.5,204025,337032,344492,1.2,1217,3367,313,3214,0.932967964,1.575297145
1992,0,0,United States,0,,179655523,190777923,6,866945,1648767,491856,2183185,1.14435935,#DIV/0!
1992,41,1,Alabama,,,3030549,3096959,0.9,17453,31188,6934,39981,1.290976083,#DIV/0!
1992,81,2,Alaska,67.1,261427,389898,406653,2.9,2865,3014,710,5082,1.24971413,1.943946111
1992,61,3,Arizona,56.7,1516276,2671933,2897181,6.5,16477,34647,3588,37389,1.290530347,2.465843949
1992,42,4,Arkansas,,,1751083,1789420,1,8285,16448,3460,19969,1.115948184,#DIV/0!
1992,71,5,California,61.6,11374565,18460157,22573381,17.3,109496,0,87725,197221,0.87368835,1.733877296
1992,62,6,Colorado,64,1597166,2494998,2602217,3.7,8997,0,2634,11631,0.44696503,0.728227373
1992,1,7,Connecticut,69.8,1645609,2356937,2521774,5.1,11403,48567,483,36170,1.434307753,2.197970478
1992,11,8,Delaware,58.3,290836,499266,523661,2.2,4062,14887,1120,12626,2.411101839,4.341278246
1992,55,9,District of Columbia,54.2,231445,427102,477564,8.3,10845,0,0,10845,2.270899817,4.685778479
1992,43,10,Florida,57.2,5438612,9506230,10591116,8.7,48302,200471,14021,162559,1.53486186,2.988979541
1992,44,11,Georgia,,,4766958,5037354,2.9,25290,153154,23020,124887,2.479218256,#DIV/0!
1992,82,12,Hawaii,48.2,382882,795148,866114,7.9,2926,0,0,2926,0.337830817,0.764204115
1992,63,13,Idaho,66.9,491725,734855,756119,2.5,2256,0,0,2256,0.298365733,0.458793025
1992,21,14,Illinois,63.6,5164357,8113900,8688184,6.2,31640,0,0,31640,0.364172766,0.612660976
1992,22,15,Indiana,56.4,2347912,4162678,4230602,1.3,13945,0,0,13945,0.32962212,0.59393197
1992,31,16,Iowa,66.1,1360856,2057690,2098809,1.3,4518,14084,2065,13625,0.6491777,1.001208063
1992,32,17,Kansas,64.1,1161044,1810750,1857444,2.2,6028,0,0,6028,0.324531991,0.519187903
1992,51,18,Kentucky,,,2772600,2814763,0.8,10364,10750,3684,19423,0.690040334,#DIV/0!
1992,45,19,Louisiana,60,1799596,2997301,3063068,1.5,20980,0,0,20980,0.68493419,1.165817217
1992,2,20,Maine,,,915082,928998,1.5,0,0,0,0,0,#DIV/0!
1992,52,21,Maryland,58.1,1999486,3440015,3695298,4.9,19977,82948,13058,74509,2.016319117,3.726407687
1992,3,22,Massachusetts,64.9,2822962,4346897,4640629,6.3,0,0,0,0,0,0
1992,23,23,Michigan,64,4341909,6786593,6990822,2.4,39113,0,0,39113,0.559490715,0.90082496
1992,33,24,Minnesota,73.9,2355796,3187255,3298080,2.1,3822,72938,1901,42192,1.279289769,1.790986995
1992,46,25,Mississippi,54.3,1008019,1854797,1882100,0.6,8905,8031,2357,15278,0.811752829,1.515646034
1992,34,26,Missouri,,,3792675,3880005,1.1,16195,32692,11671,44212,1.139483068,#DIV/0!
1992,64,27,Montana,70.4,417564,593345,599859,0.8,1548,0,0,1548,0.258060644,0.370721614
1992,35,28,Nebraska,64.8,744548,1149525,1178965,1.6,2514,15386,697,10904,0.924879025,1.464512698
1992,65,29,Nevada,54.6,513387,940066,1028056,7.2,6049,8533,3246,13562,1.319188838,2.641671877
1992,4,30,New Hampshire,67,545197,814160,833997,2.2,1777,0,0,1777,0.213070311,0.32593723
1992,12,31,New Jersey,62,3348312,5398559,6000364,8.1,22653,108093,36120,112820,1.880219267,3.369458999
1992,66,32,New Mexico,55,590901,1073421,1131081,4.4,3271,6921,1331,8063,0.712857877,1.364526376
1992,13,33,New York,57.8,7068630,12227775,13799670,10.6,61736,0,50004,111740,0.809729508,1.580787225
1992,47,34,North Carolina,,,5077494,5259564,2,20454,86371,14415,78055,1.484058374,#DIV/0!
1992,36,35,North Dakota,68.1,315199,462631,467130,0.9,477,0,0,477,0.102112902,0.151332967
1992,24,36,Ohio,62.5,5043094,8063595,8208502,1.3,38378,0,0,38378,0.467539631,0.761001084
1992,53,37,Oklahoma,63.5,1455635,2293931,2366029,1.8,14821,25902,2758,30530,1.290347667,2.097366441
1992,72,38,Oregon,69.9,1498959,2144867,2241507,4,6583,0,0,6583,0.293686346,0.439171452
1992,14,39,Pennsylvania,,,9010940,9188416,1.7,24974,0,0,24974,0.271798752,#DIV/0!
1992,5,40,Rhode Island,,,721593,779266,6,2775,15585,483,11051,1.418129368,#DIV/0!
1992,48,41,South Carolina,47.3,1234712,2610725,2683852,1.2,18643,35587,5325,41762,1.556047055,3.382327215
1992,37,42,South Dakota,,,503759,508841,0.7,1487,0,0,1487,0.292232741,#DIV/0!
1992,54,43,Tennessee,,,3726024,3811036,1.1,11849,38614,11819,42975,1.127646131,#DIV/0!
1992,49,44,Texas,,,11356487,12747860,8.1,60467,360702,121141,361959,2.839370687,#DIV/0!
1992,67,45,Utah,67.5,784988,1162363,1203861,3.4,0,0,0,0,0,0
1992,6,46,Vermont,69.7,292797,419810,426860,1.7,0,0,0,0,0,0
1992,40,47,Virginia,,,4622125,4856799,3.9,21199,23510,11372,44326,0.912658729,#DIV/0!
1992,73,48,Washington,65,2324907,3575852,3827227,4.7,9959,103837,7850,69728,1.821893501,2.99917373
1992,56,49,West Virginia,,,1365368,1377282,0.5,1674,5688,988,5506,0.399772886,#DIV/0!
1992,25,50,Wisconsin,,,3619273,3712414,1.6,8191,40424,5560,33963,0.914849475,#DIV/0!
1992,68,51,Wyoming,62.8,203602,324253,331170,1.1,1063,3310,404,3122,0.942718241,1.533383759
1990,0,0,United States,0,,176629259,186158841,5.5,761106,1489999,395140,1901246,1.021303092,#DIV/0!
1990,41,1,Alabama,,,2956385,3012797,0.7,15665,27686,5970,35478,1.17757685,#DIV/0!
1990,81,2,Alaska,54.2,197540,364419,379863,2.8,2622,3599,568,4990,1.313631493,2.526070669
1990,61,3,Arizona,43.4,1094735,2523614,2705468,5.5,14861,30397,2711,32771,1.211287659,2.993509845
1990,42,4,Arkansas,,,1710799,1742746,0.7,7322,15983,3971,19285,1.106586961,#DIV/0!
1990,71,5,California,43.5,7899131,18156500,22061053,17,97309,0,67562,164871,0.747339667,2.087204276
1990,62,6,Colorado,44.2,1046139,2366650,2447513,2.9,7671,0,2396,10067,0.411315486,0.962300421
1990,1,7,Connecticut,48.6,1159361,2383795,2538398,4.7,10500,46640,291,34111,1.343800302,2.942224208
1990,11,8,Delaware,37.8,183977,486760,507016,1.9,3471,12223,1283,10866,2.143127633,5.906173054
1990,55,9,District of Columbia,38.9,171677,441742,489808,7.8,9947,0,0,9947,2.03079574,5.794020166
1990,43,10,Florida,,,9145312,10137720,8.3,44387,210781,2064,151842,1.497792403,#DIV/0!
1990,44,11,Georgia,,,4588953,4803269,2.1,22411,134840,22646,112477,2.341676054,#DIV/0!
1990,82,12,Hawaii,45.9,354144,770836,838633,7.8,2533,0,0,2533,0.302039152,0.715245776
1990,63,13,Idaho,47.6,328340,690154,707535,2.2,1961,0,0,1961,0.277159434,0.597246756
1990,21,14,Illinois,42.6,3420720,8029525,8535069,5.6,27516,0,0,27516,0.322387552,0.804392058
1990,22,15,Indiana,38.4,1566371,4080236,4135602,1,12736,0,0,12736,0.307960002,0.813089619
1990,31,16,Iowa,49.5,1004908,2030935,2065490,1,3967,13895,2111,13026,0.630649386,1.296238064
1990,32,17,Kansas,45.2,805251,1783412,1821368,1.8,5775,0,0,5775,0.317069368,0.717167691
1990,51,18,Kentucky,,,2722356,2755670,0.6,9023,7482,3183,15947,0.57869774,#DIV/0!
1990,45,19,Louisiana,,,2959148,3020682,1.4,18599,0,0,18599,0.61572188,#DIV/0!
1990,2,20,Maine,,,910982,924839,1.5,0,0,0,0,0,#DIV/0!
1990,52,21,Maryland,34.5,1170867,3397126,3632477,4.5,17848,82898,11192,70489,1.940521578,6.020239703
1990,3,22,Massachusetts,55.3,2424579,4384671,4660342,5.9,0,0,0,0,0,0
1990,23,23,Michigan,39.5,2641649,6693069,6872954,2.1,34267,0,0,34267,0.498577468,1.297182177
1990,33,24,Minnesota,58.8,1843104,3136830,3225335,1.7,3176,59323,1873,34711,1.076198286,1.883290362
1990,46,25,Mississippi,,,1824156,1850099,0.5,8375,8221,3478,15964,0.862872744,#DIV/0!
1990,34,26,Missouri,,,3740308,3821136,0.9,14943,42322,9196,45300,1.185511324,#DIV/0!
1990,64,27,Montana,57,326652,573045,579158,0.8,1425,0,0,1425,0.246046847,0.436244076
1990,35,28,Nebraska,53.4,604195,1131746,1154859,1.1,2403,14654,632,10362,0.897252392,1.715009227
1990,65,29,Nevada,38,325959,858018,926572,6.1,5322,7700,2850,12022,1.297470677,3.688193914
1990,4,30,New Hampshire,37.8,307700,814549,832887,2,1342,0,0,1342,0.161126299,0.436139097
1990,12,31,New Jersey,36.8,1998894,5429251,5951541,7.4,21128,72341,23298,80597,1.354220697,4.03207974
1990,66,32,New Mexico,41.8,429509,1026902,1076522,3.9,3187,6294,1224,7558,0.702075759,1.759683732
1990,13,33,New York,35,4290261,12271903,13742688,10,54895,0,42837,97732,0.711156362,2.277996607
1990,47,34,North Carolina,,,4938968,5073437,1.3,18411,77829,9883,67209,1.32472326,#DIV/0!
1990,36,35,North Dakota,52,240301,461711,465851,0.8,483,0,0,483,0.10368122,0.200997915
1990,24,36,Ohio,45.4,3620469,7975680,8103382,1.2,31822,0,0,31822,0.392700233,0.878946899
1990,53,37,Oklahoma,41.3,929639,2251719,2313340,1.5,12285,24411,3236,27727,1.198570033,2.982555594
1990,72,38,Oregon,55.1,1133125,2057833,2137314,3.4,6492,0,0,6492,0.303745729,0.572928847
1990,14,39,Pennsylvania,,,8962083,9120122,1.5,22290,0,0,22290,0.244404625,#DIV/0!
1990,5,40,Rhode Island,51.7,375188,725084,780448,5.8,2392,15366,321,10396,1.332055435,2.770877533
1990,48,41,South Carolina,31.3,793614,2537384,2598170,0.9,17319,32287,3543,37006,1.424310188,4.662972175
1990,37,42,South Dakota,,,494849,499072,0.6,1341,0,0,1341,0.268698705,#DIV/0!
1990,54,43,Tennessee,,,3624940,3693970,0.8,10388,32719,11327,38075,1.030733872,#DIV/0!
1990,49,44,Texas,,,11034190,12232761,7.2,50042,308357,109726,313947,2.566444321,#DIV/0!
1990,67,45,Utah,42.2,457983,1086050,1116922,2.8,0,0,0,0,0,0
1990,6,46,Vermont,52.3,217384,415564,422130,1.6,0,0,0,0,0,0
1990,40,47,Virginia,,,4512504,4715129,3.5,17593,21303,9048,37293,0.790922157,#DIV/0!
1990,73,48,Washington,39.8,1362651,3421256,3634031,4.2,7995,84817,9615,60019,1.651581949,4.40457608
1990,56,49,West Virginia,,,1347723,1358773,0.4,1565,5059,1000,5095,0.374970654,#DIV/0!
1990,25,50,Wisconsin,,,3541548,3617625,1.4,7465,29370,4099,26249,0.725586538,#DIV/0!
1990,68,51,Wyoming,52.5,164309,312961,319255,1.1,1110,2980,313,2913,0.912436767,1.772879148
1988,0,0,United States,0,,173579281,181955484,5.1,616785,1319935,317223,1593976,0.876025259,#DIV/0!
1988,41,1,Alabama,,,2901744,2949934,0.6,12610,25301,4701,29962,1.015683741,#DIV/0!
1988,81,2,Alaska,57.3,203433,355023,369260,2.6,2588,2994,498,4583,1.24113091,2.25283017
1988,61,3,Arizona,49.1,1204169,2454254,2609995,5,12095,25446,1669,26487,1.01482953,2.199608195
1988,42,4,Arkansas,,,1689491,1717388,0.6,5519,15931,3840,17325,1.008799409,#DIV/0!
1988,71,5,California,57.5,10194539,17738700,21249801,15.9,76171,0,49364,125535,0.590758473,1.231394573
1988,62,6,Colorado,60.8,1416265,2327768,2396786,2.6,5765,0,1743,7508,0.313252831,0.530126777
1988,1,7,Connecticut,61.4,1461962,2379699,2525021,4.5,8005,46086,371,31419,1.244306483,2.149098267
1988,11,8,Delaware,54,254973,472441,489696,1.7,3197,9576,1093,9078,1.853803176,3.560376981
1988,55,9,District of Columbia,43.5,197135,453636,502362,7.2,8831,0,3949,12780,2.543982228,6.482867071
1988,43,10,Florida,,,8777510,9651236,7.8,34732,165475,2562,120032,1.243695626,#DIV/0!
1988,44,11,Georgia,,,4459739,4631342,1.7,18787,121559,11308,90875,1.962174247,#DIV/0!
1988,82,12,Hawaii,49.8,368567,739890,803568,7.6,2300,0,0,2300,0.286223443,0.624038506
1988,63,13,Idaho,63.1,421213,667345,682522,2,1581,0,0,1581,0.231640885,0.375344541
1988,21,14,Illinois,59.1,4697192,7950848,8410414,5.2,21081,0,0,21081,0.250653535,0.448800049
1988,22,15,Indiana,55.6,2222811,3996319,4045785,0.9,11406,0,0,11406,0.281923038,0.513134045
1988,31,16,Iowa,61.4,1240854,2021793,2052326,0.9,3034,13099,1945,11529,0.56175286,0.929118172
1988,32,17,Kansas,,,1774451,1808604,1.6,5817,0,0,5817,0.321629279,#DIV/0!
1988,51,18,Kentucky,,,2680364,2709782,0.6,7119,7398,3443,14261,0.526278498,#DIV/0!
1988,45,19,Louisiana,,,2941023,3005785,1.4,16242,0,7387,23629,0.786117437,#DIV/0!
1988,2,20,Maine,,,888612,901850,1.5,0,0,0,0,0,#DIV/0!
1988,52,21,Maryland,52.5,1747350,3325582,3535730,4.2,14276,78619,9225,62811,1.776464832,3.594643317
1988,3,22,Massachusetts,61.3,2689857,4385728,4642061,5.5,0,0,0,0,0,0
1988,23,23,Michigan,56.7,3745751,6608812,6773776,2,27612,0,0,27612,0.40763084,0.737155246
1988,33,24,Minnesota,68.8,2125119,3087194,3166668,1.5,2799,56901,1639,32889,1.038599563,1.54763098
1988,46,25,Mississippi,,,1792847,1815826,0.5,7384,6854,3177,13988,0.770338127,#DIV/0!
1988,34,26,Missouri,,,3696905,3769751,0.9,12176,42728,7207,40747,1.080893672,#DIV/0!
1988,64,27,Montana,66.7,378981,568014,573791,0.8,1272,0,0,1272,0.221683505,0.335636879
1988,35,28,Nebraska,60.3,678669,1125252,1144305,0.9,2156,11411,447,8309,0.7261176,1.224308168
1988,65,29,Nevada,46.1,354261,768131,823940,5.5,4881,7032,2100,10497,1.274000534,2.963069601
1988,4,30,New Hampshire,57.8,462503,800468,817358,1.9,1019,0,0,1019,0.124669973,0.220322895
1988,12,31,New Jersey,57.1,3102502,5435008,5904776,6.9,16936,57903,18463,64351,1.089812721,2.074164658
1988,66,32,New Mexico,53.4,535694,1002876,1046754,3.6,2825,5312,1230,6711,0.641124849,1.252767438
1988,13,33,New York,54,6636310,12300666,13659215,9.4,44560,0,33962,78522,0.574864661,1.183217782
1988,47,34,North Carolina,,,4794041,4903045,1.1,17078,67164,6191,56851,1.159503941,#DIV/0!
1988,36,35,North Dakota,66.2,309100,466684,470652,0.7,466,0,0,466,0.099011584,0.150760272
1988,24,36,Ohio,57.3,4505284,7869099,7986220,1.1,26462,0,0,26462,0.331345743,0.587354759
1988,53,37,Oklahoma,53.1,1192815,2245785,2300258,1.3,10448,23341,1455,23574,1.024841561,1.976333296
1988,72,38,Oregon,62.3,1235199,1982355,2055379,3.1,5991,0,3790,9781,0.475873306,0.791856211
1988,14,39,Pennsylvania,,,8892826,9037056,1.4,17900,0,0,17900,0.198073355,#DIV/0!
1988,5,40,Rhode Island,57.6,415963,721773,771407,5.5,1906,9824,442,7260,0.941137428,1.745347543
1988,48,41,South Carolina,42.5,1041846,2453644,2504635,0.8,13888,26260,3626,30644,1.223491646,2.941317623
1988,37,42,South Dakota,,,494034,497633,0.5,1020,0,0,1020,0.20497033,#DIV/0!
1988,54,43,Tennessee,,,3551452,3609081,0.7,7732,28282,9529,31402,0.870082993,#DIV/0!
1988,49,44,Texas,,,10833436,11877787,6.6,40437,288906,77827,262717,2.211834578,#DIV/0!
1988,67,45,Utah,63.4,661546,1043170,1069800,2.5,0,0,0,0,0,0
1988,6,46,Vermont,66.7,270148,404795,411136,1.5,0,0,0,0,0,0
1988,40,47,Virginia,,,4396900,4571637,3.2,14184,17945,6576,29733,0.650379722,#DIV/0!
1988,73,48,Washington,58.6,1923043,3282173,3465082,3.9,5816,64257,10745,48690,1.405161552,2.531924663
1988,56,49,West Virginia,,,1347692,1358249,0.4,1455,4811,807,4668,0.343677779,#DIV/0!
1988,25,50,Wisconsin,,,3489742,3558322,1.3,6353,26305,4128,23634,0.664189469,#DIV/0!
1988,68,51,Wyoming,59.2,186417,315073,320695,1,945,2186,333,2371,0.739331764,1.271879711
1986,0,0,United States,0,,170396029,177922330,4.7,535547,1177814,242663,1367117,0.768378539,#DIV/0!
1986,41,1,Alabama,,,2869652,2911819,0.6,11710,21371,3038,25434,0.873474622,#DIV/0!
1986,81,2,Alaska,51.9,182526,351841,364871,2.5,2460,2885,119,4022,1.102307391,2.20352169
1986,61,3,Arizona,38.4,889668,2319046,2452624,4.6,9434,20283,2034,21610,0.881097143,2.428995985
1986,42,4,Arkansas,,,1681564,1706578,0.6,4701,12700,4023,15074,0.883288077,#DIV/0!
1986,71,5,California,44.4,7617142,17166275,20222886,14.7,59484,0,33172,92656,0.458173972,1.21641424
1986,62,6,Colorado,47.5,1096867,2309652,2372880,2.4,3804,0,1827,5631,0.237306564,0.513371266
1986,1,7,Connecticut,43.7,1025605,2344327,2479722,4.3,6905,41304,603,28160,1.135611169,2.745696443
1986,11,8,Delaware,36.3,165563,455609,470828,1.6,2833,7985,978,7804,1.657505501,4.713613549
1986,55,9,District of Columbia,28.8,134158,465993,508553,6.5,6618,0,2980,9598,1.88731558,7.154250958
1986,43,10,Florida,,,8384015,9158241,7.3,32237,139859,3478,105645,1.153551211,#DIV/0!
1986,44,11,Georgia,,,4300049,4450093,1.5,16922,109485,10421,82086,1.844590664,#DIV/0!
1986,82,12,Hawaii,48.1,344416,715459,775534,7.5,2180,0,0,2180,0.281096638,0.632955496
